"Google Connect","Google Connect"
"Google Connect Button","Google Connect Button"
"To get &quot;API key&quot; register your application on &lt;a href=&quot;https://code.google.com/apis/console/&quot; target=&quot;_blank&quot;&gt;Google APIs Console&lt;/a&gt;","To get &quot;API key&quot; register your application on &lt;a href=&quot;https://code.google.com/apis/console/&quot; target=&quot;_blank&quot;&gt;Google APIs Console&lt;/a&gt;"
"Enable Extension","Enable Extension"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Title","Title"
"Button Style","Button Style"
"Blue","Blue"
"White","White"
"Black","Black"
"The title of the button.","The title of the button."
"Sign in with Google","Sign in with Google"
"Could not connect to Google. Try again later.","Could not connect to Google. Try again later."
"Post order details to Google","Post order details to Google"
"Google Post","Google Post"
"Post order details to Google","Post order details to Google"
"The parameter has been saved.","The parameter has been saved."
"The parameter has been removed.","The parameter has been removed."
"An error occurred while saving your parameter.","An error occurred while saving your parameter."
"Content Options","Content Options"
"Display on Login Page","Display on Login Page"
"Display on Checkout Page","Display on Checkout Page"
"Display Custom Buttons","Display Custom Buttons"
"Display Widget Buttons","Display Widget Buttons"
"Frontend Template","Frontend Template"
"Create New Account Options","Create New Account Options"
"Welcome Email","Welcome Email"
"Email Sender","Email Sender"
"Enable Notifications","Enable Notifications"
"Default Template from Locale","Default Template from Locale"
"Facebook new account","Facebook new account"
"Cannot login via Google!","Cannot login via Google!"